input_id	dealiased_id	standard_id	short_id
wikidata:Q46368626	wikidata:Q46368626	wikidata:Q46368626	1GmbExweg
wikidata:Q64974172	wikidata:Q64974172	wikidata:Q64974172	WKbly37M
wikidata:Q57318689	wikidata:Q57318689	wikidata:Q57318689	1FLFdI7Pq
wikidata:Q71306466	wikidata:Q71306466	wikidata:Q71306466	MmLAPJkE
wikidata:Q87649649	wikidata:Q87649649	wikidata:Q87649649	paKiKTRS
wikidata:Q21184168	wikidata:Q21184168	wikidata:Q21184168	1CI8uS6ka
wikidata:Q57318688	wikidata:Q57318688	wikidata:Q57318688	47qvifzh
wikidata:Q41861103	wikidata:Q41861103	wikidata:Q41861103	xQ8VDUnJ
wikidata:Q21284194	wikidata:Q21284194	wikidata:Q21284194	nA1Dql7o
wikidata:Q62485122	wikidata:Q62485122	wikidata:Q62485122	15SSnrr1p
wikidata:Q106704674	wikidata:Q106704674	wikidata:Q106704674	cFQY1evO
